.changzhou20110307.txt|数据制作: BusLineDataSpider|作者: 小超(ourloveliness@gmail.com)|更新日期: 2011-3-7 13:10:05

B1路◎ 武进公交中心站[B]-武进汽车客运站[B]-信息学院[B]-机电学院[B]-轻工学院[B]-滆湖路[B]-淹城公交中心站[B]-长虹路[B]-广电路[B]-人民路[B]-聚湖路[B]-中吴大道[B]-光华路[B]-兰陵[B]-广化街[B]-怀德桥[B劳动西路]-江南商场[B]-西新桥[B]-万福桥[B]-飞龙路[B]-龙城大道[B]-太湖路[B]-汉江路[B]-黄河东路[B]-新北公交中心站[外]:{      } BRT线路 武进公交中心站-新北公交中心站 一元 五汽公司
B2路◎ 公交一公司[B]-龙江路[B]-谭墅[B]-花园公交中心站[B]-金谷花园[B]-马公桥[B]-会馆浜桥[B]-怀德桥[B怀德中路]-瞿秋白纪念馆[B]-人民公园[B]-文化宫[B]-天宁寺[B]-文笔塔[B]-朝阳桥[B]-五角场[B]-红梅新村[B]-横塘河[B]-紫云居[B]-青洋中路[B]-湾城路[B]-毓秀园[B]-华丰路[B]-戚墅堰区政府[B]-革新桥[B]-五一路[B]-戚区公交中心站:{      } BRT线路 公交一公司-戚区公交中心站 一元 一汽公司
B11路◎ 武进公交中心站[B]-武进汽车客运站[B]-信息学院-常州科教城-常州大学武进校区[滆湖中路]-工程学院-花园街延政路-农行武进支行[府东路]-武进区政府北门[东]-府北路长虹路-花园街长虹路-新城南都-新天地广场-花园街广电路-湖塘湾里小区-定安路兰陵路-人民路[B]-聚湖路[B]-中吴大道[B]-光华路[B]-兰陵[B]-广化街-苏宁电器-南大街-人民公园[B]-文化宫[国美家电城]-明都大饭店-新丰东桥(火车站)-火车站公交中心站(东广场回车场):{      } BRT线路 武进公交中心站-火车站公交中心站 一元 五汽公司
B12路◎ 中华恐龙园[回车场]-汉江路建东路(建东学院)-新天安城市花园-珠江花园-河海大学东门-晋陵路太湖路-奥体中心北门[新区实验中学北门]-常州地税局-行政中心北门-行政中心西门-常州规划馆(常州博物馆)-龙城大道[B]-飞龙路[B]-万福桥[B]-西新桥[B]-江南商场[B]-瞿秋白纪念馆[B]-人民公园[B]-文化宫[B]-天宁寺[B]-文笔塔[B]-东坡公园(儿童医院)-朝阳桥-兆丰花苑-高家弄-白家桥:{      } BRT线路 中华恐龙园-白家桥 一元 三汽公司
B13路◎ 小新桥公交中心站-北郊中学新北校区-凤凰名城-公交三公司-黄河中路华山路-黄河中路泰山路-富都小区-嘉新花园-新北区政府(高新科技园)-人力资源市场(市行政服务中心)-科四路(华山医院)-太湖路[B]-龙城大道[B]-飞龙路[B]-万福桥[B]-西新桥[东]-青山桥-怡康花园-火车站公交中心站(关河东路回车场):{      } BRT线路 小新桥公交中心站-火车站公交中心站 一元 三汽公司
B21路◎ 公交一公司[B]-龙江路[B]-谭墅[B]-花园公交中心站[B]-金谷花园[B]-马公桥[B]-会馆浜桥[B]-怀德桥[B怀德中路]-瞿秋白纪念馆[B]-人民公园[B]-文化宫[B]-天宁寺[B]-文笔塔[B]-红梅公交中心站[回车场]:{      } BRT线路 公交一公司-红梅公交中心站 一元 一汽公司
B22路◎ 花园公交中心站[回车场]-金谷花园[B]-马公桥[B]-会馆浜桥[B]-怀德桥[B怀德中路]-瞿秋白纪念馆[B]-县直街-第一医院-公交集团公司[妇幼保健院西门]-永宁路-武进医院[竹林西路]-常州客运中心[回车场]:{      } BRT线路 花园公交中心站-常州客运中心 一元 一汽公司
B23路◎ 钟楼公交中心站-星港花园(枫逸人家)-大运河之星-星港路茶花路(景瑞曦城)-钟楼区政府(青枫公园)-青枫公馆-星港路龙江路-五星平岗-周家村[五星]-五星街道(办)-勤业中学-星湖路(欧尚五星店)-莱茵花苑-勤业四村-勤业新村-勤德家园-怀德桥[B怀德中路]-瞿秋白纪念馆[B]-新世纪商城-健身路-晋陵中路[博爱路]-公交集团公司-椿庭桥(妇幼保健院)-红梅公园-小东门商城-红梅街道[卫生服务中心]-红梅东村-红梅文化站-九龙小商品市场-虹景路-虹景金桂园:{      } BRT线路 钟楼公交中心站-虹景金桂园 一元 一汽公司
H1路◎ 白荡河公交中心站[回车场]-中吴大道长江路-常州车管所东-荡南-中吴大道兰陵路-中吴大道晋陵路(上海大众外汽集团)-中吴大道和平路西-中吴大道和平路-富强村-中吴大道龙游路-丽华二村[中吴大道]-丽华一村-丽华北站-丽华路光华路(光华路东)-朝阳新村[丽华北路]-五角场新村-九龙小商品市场-红梅东村-竹林北路[巴士出租公司]-竹林路庙湾路(技师学院)-交通信息大厦(董头村)-竹林北路公交站-龙城大道竹林路-龙城大道新堂路-永宁路龙城大道-永宁雅苑-龙锦路永宁北路[景秀世家]-绿洲家园-水木年华[南]-奥体中心北门[新区实验中学北门]-常州地税局-行政中心北门-太湖路通江路-太湖明珠苑-太湖路泰山路[新北法院]-太湖中路桥[泰山一村]-太湖路华山路[前桥小区北]-前桥小区-长江路飞龙路-银河湾第一城-蒋家塘[长江中路]-芦墅广景园-三堡街小区-长江路勤业路-长江路星园路-马公桥[南]-清潭六村-清潭西站-荆川里小区[长江中路]-白荡河公交中心站[回车场]:{      } BRT线路 白荡河公交中心站-白荡河公交中心站 一元 一汽公司
H2路◎ 永宁北路公交中心站[回车场]-永宁雅苑-永宁路龙城大道-龙城大道永宁路-龙城大道新堂路-竹林北路公交站-交通信息大厦(董头村)-竹林路庙湾路(技师学院)-竹林北路[巴士出租公司]-红梅东村-红梅新村-五角场新村-朝阳新村[丽华北路]-丽华路光华路(光华路东)-丽华北站-中吴大道丽华路-丽华二村[中吴大道]-中吴大道龙游路-富强村-中吴大道和平路-上海大众外汽集团-中吴大道晋陵路-中吴大道兰陵路-荡南-常州车管所东-长江路中吴大道-荆川里小区[长江中路]-清潭西站-清潭六村-马公桥[南]-长江路星园路-长江路勤业路-三堡街小区-芦墅广景园-蒋家塘[长江中路]-银河湾第一城-长江路飞龙路-前桥小区-太湖路华山路[前桥小区北]-太湖中路桥[泰山二村]-太湖路泰山路[泰山三村]-太湖明珠苑-太湖路通江路-行政中心北门-常州地税局-奥体中心北门[新区实验中学北门]-水木年华[南]-绿洲家园-龙锦路永宁北路[景秀世家]-永宁北路公交中心站[回车场]:{      } BRT线路 永宁北路公交中心站-永宁北路公交中心站 一元 巴士公司
Y1路(游1)◎ 红梅公交中心站[回车场]-天宁寺[B]-文化宫[B]-人民公园[B]-瞿秋白纪念馆[B]-怀德桥[B怀德中路]-勤德家园-勤业新村-莱茵花苑-星湖路(欧尚五星店)-勤业中学-五星平岗-星港路龙江路-青枫公馆-钟楼区政府(青枫公园)-青枫公园西:{      } 旅游线路 红梅公交中心站-青枫公园西 一元 一汽公司
